date_time,   Speed,  Direc ,   Temp , Humidty
2008-10-01 00:00:00,0.447,33,0.5556,87
2008-10-01 01:00:00,0.0,30,0.0,89
2008-10-01 02:00:00,0.447,20,0.0,91
2008-10-01 03:00:00,0.8941,28,0.0,90
2008-10-01 04:00:00,0.8941,23,0.0,91
2008-10-01 05:00:00,0.447,33,-0.5555,92
2008-10-01 06:00:00,0.8941,30,-0.5555,94
2008-10-01 07:00:00,0.447,27,2.778,88
2008-10-01 08:00:00,0.447,169,13.89,44
2008-10-01 09:00:00,2.682,178,15.56,32
2008-10-01 10:00:00,2.682,207,16.67,29
2008-10-01 11:00:00,2.682,205,17.78,27
2008-10-01 12:00:00,2.682,194,18.33,25
2008-10-01 13:00:00,2.682,187,17.78,30
2008-10-01 14:00:00,2.235,189,17.78,30
2008-10-01 15:00:00,2.682,201,16.11,35
2008-10-01 16:00:00,2.235,203,13.89,39
2008-10-01 17:00:00,0.447,211,11.67,45
2008-10-01 18:00:00,0.8941,237,10.56,47
2008-10-01 19:00:00,0.447,254,9.443999999999999,51
2008-10-01 20:00:00,0.0,321,8.889,55
2008-10-01 21:00:00,0.0,345,8.333,55
2008-10-01 22:00:00,0.0,359,8.333,56
2008-10-01 23:00:00,0.447,278,8.333,56
2008-10-02 00:00:00,0.447,222,9.443999999999999,53
2008-10-02 01:00:00,0.0,269,8.889,58
2008-10-02 02:00:00,0.447,240,8.333,58
2008-10-02 03:00:00,1.788,226,8.333,56
2008-10-02 04:00:00,0.447,231,7.222,65
2008-10-02 05:00:00,1.341,233,7.222,65
2008-10-02 06:00:00,1.341,208,6.667000000000001,68
2008-10-02 07:00:00,0.447,274,5.556,86
2008-10-02 08:00:00,1.341,221,7.222,72
2008-10-02 09:00:00,3.1289999999999996,202,8.333,60
2008-10-02 10:00:00,3.1289999999999996,220,9.443999999999999,52
2008-10-02 11:00:00,3.576,202,10.56,48
2008-10-02 12:00:00,2.682,206,13.33,40
2008-10-02 13:00:00,3.1289999999999996,207,13.89,39
2008-10-02 14:00:00,3.1289999999999996,207,12.22,40
2008-10-02 15:00:00,3.1289999999999996,203,10.56,43
2008-10-02 16:00:00,2.682,207,9.443999999999999,43
2008-10-02 17:00:00,1.341,210,6.667000000000001,50
2008-10-02 18:00:00,0.447,285,4.444,61
2008-10-02 19:00:00,0.8941,257,4.444,64
2008-10-02 20:00:00,0.0,287,3.889,64
2008-10-02 21:00:00,0.447,259,3.333,66
2008-10-02 22:00:00,0.0,172,2.778,69
2008-10-02 23:00:00,0.0,312,3.333,68
2008-10-03 00:00:00,0.0,18,2.222,69
2008-10-03 01:00:00,0.0,276,2.778,67
2008-10-03 02:00:00,0.0,18,0.5556,73
2008-10-03 03:00:00,0.0,23,0.0,76
2008-10-03 04:00:00,0.0,23,-1.11,81
2008-10-03 05:00:00,0.0,31,-2.7769999999999997,86
2008-10-03 06:00:00,0.0,34,-3.332,88
2008-10-03 07:00:00,0.0,23,0.5556,79
2008-10-03 08:00:00,0.0,190,5.556,67
2008-10-03 09:00:00,0.8941,225,6.667000000000001,61
2008-10-03 10:00:00,0.8941,249,9.443999999999999,50
2008-10-03 11:00:00,1.341,233,11.67,34
2008-10-03 12:00:00,1.788,198,11.67,46
2008-10-03 13:00:00,1.788,216,9.443999999999999,52
2008-10-03 14:00:00,2.235,212,11.11,50
2008-10-03 15:00:00,2.235,208,8.333,57
2008-10-03 16:00:00,0.8941,237,6.111000000000001,62
2008-10-03 17:00:00,1.788,210,5.0,61
2008-10-03 18:00:00,1.788,210,5.0,46
2008-10-03 19:00:00,2.235,223,4.444,43
2008-10-03 20:00:00,1.341,221,3.333,61
2008-10-03 21:00:00,0.447,272,0.5556,86
2008-10-03 22:00:00,0.8941,252,0.5556,91
2008-10-03 23:00:00,0.0,256,0.0,94
2008-10-04 00:00:00,0.447,219,0.0,95
2008-10-04 01:00:00,0.447,226,0.0,95
2008-10-04 02:00:00,0.0,199,0.0,96
2008-10-04 03:00:00,0.447,231,0.0,96
2008-10-04 04:00:00,0.0,208,0.0,96
2008-10-04 05:00:00,0.0,238,0.0,96
2008-10-04 06:00:00,0.0,190,0.0,96
2008-10-04 07:00:00,0.0,268,1.111,94
2008-10-04 08:00:00,0.447,230,2.778,86
2008-10-04 09:00:00,2.235,222,3.333,82
2008-10-04 10:00:00,2.235,216,5.556,77
2008-10-04 11:00:00,1.788,208,5.0,75
2008-10-04 12:00:00,1.788,221,6.111000000000001,71
2008-10-04 13:00:00,1.788,202,3.333,78
2008-10-04 14:00:00,1.788,231,1.111,85
2008-10-04 15:00:00,0.8941,209,3.333,68
2008-10-04 16:00:00,0.8941,214,2.222,76
2008-10-04 17:00:00,0.0,233,1.111,89
2008-10-04 18:00:00,0.447,209,0.0,92
2008-10-04 19:00:00,0.0,269,-0.5555,91
2008-10-04 20:00:00,0.0,345,-1.666,95
2008-10-04 21:00:00,0.0,45,-2.221,94
2008-10-04 22:00:00,0.0,13,-2.7769999999999997,95
2008-10-04 23:00:00,0.447,18,-2.7769999999999997,95
2008-10-05 00:00:00,0.0,24,-3.888,93
2008-10-05 01:00:00,0.447,10,-3.888,93
2008-10-05 02:00:00,0.0,27,-4.4430000000000005,92
2008-10-05 03:00:00,0.0,24,-4.999,91
2008-10-05 04:00:00,0.0,31,-4.999,91
2008-10-05 05:00:00,0.0,37,-4.999,89
2008-10-05 06:00:00,0.0,31,-5.555,89
2008-10-05 07:00:00,0.0,15,-3.888,92
2008-10-05 08:00:00,0.0,21,1.6669999999999998,90
2008-10-05 09:00:00,0.447,70,8.333,37
2008-10-05 10:00:00,1.341,183,10.0,40
2008-10-05 11:00:00,2.235,225,10.56,42
2008-10-05 12:00:00,1.341,221,11.11,40
2008-10-05 13:00:00,1.788,218,11.67,37
2008-10-05 14:00:00,1.341,230,11.67,33
2008-10-05 15:00:00,0.8941,190,12.22,34
2008-10-05 16:00:00,0.8941,196,10.56,37
2008-10-05 17:00:00,0.447,245,6.111000000000001,61
2008-10-05 18:00:00,0.0,22,2.222,75
2008-10-05 19:00:00,0.447,27,-0.5555,82
2008-10-05 20:00:00,1.341,32,-0.5555,84
2008-10-05 21:00:00,0.8941,35,-0.5555,80
2008-10-05 22:00:00,0.0,18,-1.11,79
2008-10-05 23:00:00,1.341,28,-0.5555,75
2008-10-06 00:00:00,0.8941,45,-2.221,79
2008-10-06 01:00:00,0.8941,35,-2.7769999999999997,68
