date_time,   Speed,  Direc ,   Temp , Humidty
2002-10-01 00:00:00,0.447,47,-4.999,90
2002-10-01 01:00:00,0.447,48,-6.11,88
2002-10-01 02:00:00,0.8941,53,-7.221,78
2002-10-01 03:00:00,0.447,50,-8.332,76
2002-10-01 04:00:00,0.0,108,-8.888,78
2002-10-01 05:00:00,0.447,43,-7.777,82
2002-10-01 06:00:00,0.447,57,-8.332,88
2002-10-01 07:00:00,0.447,124,-4.4430000000000005,81
2002-10-01 08:00:00,1.788,206,1.111,47
2002-10-01 09:00:00,0.8941,220,1.111,44
2002-10-01 10:00:00,1.788,353,0.0,47
2002-10-01 11:00:00,0.8941,342,2.778,43
2002-10-01 12:00:00,1.341,84,2.778,36
2002-10-01 13:00:00,1.788,269,3.889,42
2002-10-01 14:00:00,1.341,150,3.889,47
2002-10-01 15:00:00,0.8941,269,3.889,38
2002-10-01 16:00:00,1.788,199,0.0,64
2002-10-01 17:00:00,0.8941,240,-1.11,58
2002-10-01 18:00:00,2.682,47,-2.7769999999999997,53
2002-10-01 19:00:00,2.682,56,-3.888,54
2002-10-01 20:00:00,3.1289999999999996,44,-4.4430000000000005,55
2002-10-01 21:00:00,2.682,53,-5.555,83
2002-10-01 22:00:00,-999.0,-999,-999.0,-999
2002-10-01 23:00:00,-999.0,-999,-999.0,-999
2002-10-02 00:00:00,-999.0,-999,-999.0,-999
2002-10-02 01:00:00,3.576,52,-5.555,60
2002-10-02 02:00:00,3.576,55,-5.555,63
2002-10-02 03:00:00,4.023,58,-6.11,57
2002-10-02 04:00:00,1.788,77,-6.11,61
2002-10-02 05:00:00,1.788,66,-6.666,64
2002-10-02 06:00:00,3.1289999999999996,51,-6.11,58
2002-10-02 07:00:00,3.1289999999999996,51,-4.4430000000000005,51
2002-10-02 08:00:00,4.47,56,-2.221,51
2002-10-02 09:00:00,4.917,59,-0.5555,45
2002-10-02 10:00:00,5.364,65,0.0,41
2002-10-02 11:00:00,3.1289999999999996,101,0.5556,42
2002-10-02 12:00:00,2.682,70,2.778,33
2002-10-02 13:00:00,2.682,56,4.444,19
2002-10-02 14:00:00,2.235,48,5.556,19
2002-10-02 15:00:00,2.235,66,5.556,22
2002-10-02 16:00:00,1.341,64,5.556,24
2002-10-02 17:00:00,1.788,71,1.111,33
2002-10-02 18:00:00,0.447,35,-1.666,41
2002-10-02 19:00:00,0.447,215,-2.7769999999999997,43
